N,TFLOPS
1,4.72671022920157e-07
2,3.1851576836290456e-06
3,5.75080769259761e-06
4,2.6220096109697816e-05
5,2.8307667119866505e-05
6,8.97249323864919e-05
7,7.815306111774011e-05
8,0.0002117465264803819
9,0.00016246296253026403
10,0.00041237238189637654
11,0.0005147322905650519
12,0.0006762340139931858
13,0.0008327864290272458
14,0.0010520059228984594
15,0.0012996823864897292
16,0.0017593178107035198
17,0.001976766279894046
18,0.002438543849199484
19,0.002795477583291025
20,0.0032779825502428942
21,0.0036773007674226815
22,0.004259249821271462
23,0.004598540628200899
24,0.005480000079366449
25,0.005905237612702155
26,0.006957031370525192
27,0.007491806938097347
28,0.008575000102769917
29,0.009089084837467032
30,0.010562777161708866
31,0.011025477096469501
32,0.013087177775608767
33,0.011641591835632858
34,0.015067178726222223
35,0.013923357932452366
36,0.017758357209575703
37,0.016428025576687
38,0.020914378082076863
39,0.019333089424052163
40,0.024963557220481825
41,0.022271806139990802
42,0.02864528612770873
43,0.025881184300056426
44,0.03214062522647547
45,0.029771741190975875
46,0.03607338575426109
47,0.03421276230938776
48,0.04121627872054027
49,0.03829719958996464
50,0.04645251961183842
51,0.043391815417732446
52,0.052112539793496795
53,0.04864193840624659
54,0.05893113814596396
55,0.05402912348966528
56,0.06618159462517
57,0.06103129201924581
58,0.07231609856301727
59,0.06750960285469666
60,0.07961002088708581
61,0.07415769090279009
62,0.08808579043920226
63,0.08179352767486701
64,0.0994950359849479
65,0.08716920613492893
66,0.097993091559401
67,0.09626506866610733
68,0.1077274309334827
69,0.10476974975663021
70,0.11812957322335266
71,0.11496896966208914
72,0.13298668352850349
73,0.1237722197421876
74,0.1390116363793225
75,0.1351859804261601
76,0.1446556309561324
77,0.14405983783977508
78,0.16278800652402015
79,0.15484324822925766
80,0.18613340121497748
81,0.1649734776784845
82,0.18305887569438745
83,0.17538212230004524
84,0.19604542371805272
85,0.18652260144313154
86,0.20959934496410268
87,0.20091333351142146
88,0.24344378020401752
89,0.21484541953839376
90,0.2367286991835573
91,0.22630652128979786
92,0.2531903944179702
93,0.24182958738258323
94,0.2690630802016663
95,0.2601074707176206
96,0.3114947337145018
97,0.2873180021261368
98,0.3101387843133101
99,0.30945265757866597
100,0.33531092630964315
101,0.32019280213158907
102,0.3462878535069748
103,0.338806296665876
104,0.39346574124263023
105,0.3548168601387835
106,0.3853419326145833
107,0.3781064959356241
108,0.4110469781995107
109,0.401066460997695
110,0.4391448538069793
111,0.4182264332433754
112,0.4907676178304927
113,0.43823798421248145
114,0.4770502475629184
115,0.46297254887972605
116,0.5055862177175758
117,0.4920282347408361
118,0.5420536790517563
119,0.5159725932059741
120,0.5927884509390646
121,0.5411312312919252
122,0.5925154581806877
123,0.5723302175707027
124,0.6037524988529401
125,0.6021109760533909
126,0.6433133923106994
127,0.6228437142169637
128,0.7049924871558645
129,0.601492990770325
130,0.6452787746606099
131,0.6379425628266887
132,0.67039336959956
133,0.6571129316760888
134,0.705943841812819
135,0.6850493716865362
136,0.8227430929740837
137,0.728950130002669
138,0.7857969057071097
139,0.7777458742794903
140,0.822599967896314
141,0.8181395921299802
142,0.8764174918156621
143,0.8406872450185159
144,0.9777615753291479
145,0.87333058342348
146,0.9284253325821
147,0.9159755404111701
148,0.9690292689543285
149,0.9429179680244404
150,1.0076163487121037
151,0.9678036678718218
152,1.125242498704807
153,0.9954314678331179
154,1.0738817310875195
155,1.0370675614942586
156,1.104171583125806
157,1.0575517662280378
158,1.134774911488223
159,1.1007497137156115
160,1.2555758112330042
161,1.11444979639504
162,1.2206178870592503
163,1.1714778713079863
164,1.2759267359365696
165,1.2302910656664166
166,1.304884357270402
167,1.2623863234680308
168,1.4401838525420727
169,1.311216739763872
170,1.3984761750686117
171,1.3528281808957527
172,1.4408014331841041
173,1.4149496532278638
174,1.4885381069157584
175,1.4451712167227975
176,1.6845595898632173
177,1.4893351889829256
178,1.5951632069008117
179,1.541952842298953
180,1.6583587669683537
181,1.6007494532284607
182,1.6838468483879212
183,1.6344682971015332
184,1.79814344084207
185,1.688539267795477
186,1.8087602166342205
187,1.7492203246409126
188,1.8520508863058562
189,1.7226761009584741
190,1.8840970565481585
191,1.7610282881441375
192,2.2437769154486147
193,1.7375734806512635
194,2.0350943896793394
195,1.7792015895705497
196,2.0813420452471223
197,1.8328539612654482
198,2.1545301443243416
199,1.864010764931881
200,2.33437836194121
201,1.905507611080062
202,2.2620390293385912
203,1.9948416042888604
204,2.368767824652318
205,2.0616149197599505
206,2.424004537030356
207,2.081294574331841
208,2.669525440357374
209,2.1422067045937347
210,2.52587474172579
211,2.1965342361053524
212,2.6069530310503852
213,2.2457505839713514
214,2.68400590335906
215,2.315684933261399
216,2.9310553784359152
217,2.360208128321235
218,2.788182978655544
