N,TFLOPS
1,3.022397490537274e-07
2,3.5006309753034904e-06
3,1.1162173780043414e-05
4,2.7476038825182323e-05
5,5.209948903571283e-05
6,9.231503357114519e-05
7,0.000145735348515905
8,0.00022763555425161575
9,0.000308983563594478
10,0.0004458361042781146
11,0.0005661700778160119
12,0.0007512739740264212
13,0.0009310423136639796
14,0.0012040000186160742
15,0.0014061955195091632
16,0.0018544474616513406
17,0.0014377789369128392
18,0.0022974092377998964
19,0.001965191180612342
20,0.0032638810408141435
21,0.002665973609638295
22,0.004222123921875203
23,0.0035175916501003317
24,0.005847025585208829
25,0.004540669017462971
26,0.0069558591720521624
27,0.005770141765155189
28,0.008798150938882688
29,0.007103930899897363
30,0.010649813019138909
31,0.008726157435867356
32,0.013504159739727878
33,0.010315768208019152
34,0.01524895355827689
35,0.01232156163293701
36,0.01849244187819142
37,0.014641475890679014
38,0.020732979706038903
39,0.01669269340993518
40,0.025776479448637115
41,0.019548132406990965
42,0.028288911223874346
43,0.022593221279485584
44,0.03327862825621738
45,0.0255817816248614
46,0.037580792569953336
47,0.029034416609876063
48,0.04483741356417015
49,0.03277568680044914
50,0.04857571546571567
51,0.03716335179817422
52,0.05444818346348505
53,0.04170046430076587
54,0.06046572662673076
55,0.04637921670546274
56,0.07145887555015583
57,0.05317420232448678
58,0.07419100913377631
59,0.058405301161251866
60,0.08351616835565084
61,0.06338335020888908
62,0.09223884038842979
63,0.06937275530913022
64,0.10125208485947107
65,0.07448054057109622
66,0.11035822329393227
67,0.08287538108495869
68,0.11836067057776305
69,0.09114352945591879
70,0.13424779927038033
71,0.09917741638162449
72,0.14579470394275332
73,0.10681102497131638
74,0.16088632285060836
75,0.11406281521145564
76,0.16434464116113578
77,0.12293263792668588
78,0.18265070076592616
79,0.13157596580740083
80,0.19832805065207973
81,0.14380271004431985
82,0.21160280130261477
83,0.15597175861129856
84,0.22085923359812326
85,0.1677733407941297
86,0.24144075059284323
87,0.17839220183623583
88,0.2597717830770282
89,0.1879454232106863
90,0.28440392340808995
91,0.2021077063491064
92,0.2929037431393417
93,0.21258631457485322
94,0.3193982518640614
95,0.22666588932076714
96,0.33619342728982776
97,0.23640796517730706
98,0.3554974911317207
99,0.24842657483414687
100,0.3666814488017094
101,0.2660065682554218
102,0.405963707353957
103,0.28047744283787995
104,0.43065237751447094
105,0.2937070823361627
106,0.45555673949516606
107,0.31143308794235036
108,0.4698039597304577
109,0.32890431281046567
110,0.4889202125084789
111,0.3376115924165297
112,0.5344617395942165
113,0.35568229616339153
114,0.5548950641568756
115,0.3755713281600718
116,0.5703284046128412
117,0.38930243733726433
118,0.6220318423030764
119,0.4079490967451008
120,0.6316648536801587
121,0.45829095660561275
122,0.6670436731307249
123,0.4868652686626171
124,0.6909222310347605
125,0.5071765226089036
126,0.7213216802390083
127,0.5368926989583227
128,0.7966213495677434
129,0.6409481273629873
130,0.6922706785403575
131,0.6722195749796377
132,0.7359112438622566
133,0.7056920408317989
134,0.7521934026412124
135,0.7353054241420841
136,0.8893360434270571
137,0.7749516268104752
138,0.9006451303337237
139,0.8233191559629034
140,0.9002762616362545
141,0.8301078882773021
142,0.9197497536745244
143,0.8427705888390895
144,1.008334714972409
145,0.8956069006158756
146,1.0228474278568975
147,0.9324367311616589
148,1.062487384844101
149,0.9582767543741685
150,1.1071644789222714
151,1.0015661316327635
152,1.1638540936562953
153,1.0181429833039453
154,1.1684948516689766
155,1.056767304448419
156,1.1966318149574475
157,1.0917400700193811
158,1.245047951612271
159,1.1216500547981272
160,1.3791461487729306
161,1.2016579986464568
162,1.3598552776240878
163,1.25331323568792
164,1.4163550876148978
165,1.2877762177201995
166,1.4675288094585413
167,1.337398505295292
168,1.54799996234866
169,1.3675446795013175
170,1.5502712198170474
171,1.4081621682875662
172,1.6541417796728677
173,1.4842381126831
174,1.6910048061785818
175,1.5389537430827376
176,1.7763980085402447
177,1.5736352401593554
178,1.8023158191254949
179,1.6406968583498098
180,1.8570342727048204
181,1.7002684512108135
182,1.9287049883156822
183,1.7573031709370284
184,2.0257354813997734
185,1.8090961392856286
186,2.062763097789661
187,1.8466345467462513
188,2.067633208931347
189,1.8901395321456027
190,2.1291188094884226
191,1.9413728284629204
192,2.245854195193446
193,1.9767687003914785
194,2.1755754388321034
195,2.0349873061396395
196,2.25348401580415
197,2.091479548421432
198,2.3485608233889583
199,2.140052367740932
200,2.4740298568415175
201,2.181832230792145
202,2.475571423249918
203,2.2624566704262565
204,2.5293622362923336
205,2.273155108826788
206,2.618355371398536
207,2.330957452998376
208,2.8280264741459953
209,2.482563297045287
210,2.776896874271777
211,2.5502994036201723
212,2.857315461419435
213,2.5798639152210647
214,2.904797113210432
215,2.6616644601296744
216,3.0966727038393893
217,2.7063221923653566
218,3.0220523890609576
219,2.7823258144312133
220,3.1300849287352186
221,2.8521828761823778
222,3.2710207042935266
223,2.932931119526636
224,3.4657051675904267
225,3.0310809382678046
226,3.390526330416394
227,3.09774441751261
228,3.4334971325918824
229,3.15804407267369
230,3.564648426508415
231,3.244466132385166
232,3.6895542771738774
233,3.2532727791683866
234,3.6474951238645166
235,3.3254462680432564
236,3.750914075749352
237,3.46320027887513
238,3.7749185857431953
239,3.5106201385464715
240,4.255304429671643
241,3.6517723258605184
242,4.099503716550103
243,3.709757196418784
244,4.070346820920897
245,3.770371593248107
246,4.1819983265819065
247,3.901366726950675
248,4.44258868948881
249,3.984551322972634
250,4.423751225441515
251,4.114124468342641
252,4.638537245448493
253,4.22201972542626
254,4.612017276432313
255,4.221934592737388
256,5.114564479622228
257,4.145521304961188
258,4.569811476572374
259,4.1091528541211115
260,4.644647992450423
261,4.173220955453338
262,4.722416079566223
263,4.24527999167447
264,5.128979564221906
265,4.445172783850784
266,5.037829642579638
267,4.483154439511758
268,5.105648394166191
269,4.582939024420441
270,5.1603596598682895
271,4.6601621408641405
272,5.5132398326494485
273,4.794028311282028
274,5.425732474555987
275,4.805244810835151
276,5.377274158141034
277,4.896954022617794
278,5.528226679269566
279,4.924308101542622
280,5.852570609774445
281,5.060162945672202
282,5.744580663558427
283,5.162706336069836
284,5.773711072069041
285,5.156983173838361
286,5.871625797042438
287,5.3132732871233985
288,6.282337479710837
289,5.072020947831757
290,5.572103569915737
291,5.15278012514653
292,5.675446278398842
293,5.343142876237691
294,5.906500659898047
295,5.388029258665417
296,6.3410403695789705
297,5.497926532187862
298,6.032669297088128
299,5.4851542306774785
300,6.051558031855844
301,5.607224415741261
302,6.186631580065782
303,5.656363148869955
304,6.813706010013693
305,5.778954106312319
306,6.383870980012247
307,5.793759365496918
308,6.419006932631499
309,5.821390603245364
310,6.5592242774307845
311,5.966517161413012
312,7.098665179441143
313,6.0353229119204155
314,6.702956744477596
315,6.159807011200683
316,6.81558478802839
317,6.280329485290843
318,7.00677975422411
319,6.291382910471795
320,7.728131264349958
321,6.4180692082122635
322,7.083608352829043
323,6.550985137511148
324,7.226464903215966
325,6.701016605786119
326,7.24861159957501
327,6.734183757373349
328,8.095820582678462
329,6.883583797700345
330,7.614682094675544
331,7.020613795760303
332,7.672734657950003
333,7.2321913421238575
334,7.9045653682022845
335,7.183076150622326
336,8.498973348293815
337,7.413819631197466
338,8.157261285866973
339,7.582127433789596
340,8.244744636945898
341,7.6146002743834105
342,8.428817138145133
343,7.690709962725874
344,9.088981869098504
345,7.801259167516868
346,8.652804807617562
347,7.8292288882062655
348,8.72071190045143
349,7.9562657443556635
350,8.910406388802002
351,8.167935988784574
352,9.84262084874655
353,7.223805353753772
354,9.030292024575092
355,7.2626939033943705
356,9.194371168316032
357,7.384117620681427
358,9.345927778633518
359,7.497759292641507
360,9.91639469972748
361,7.633491842884185
362,9.593960749269096
363,7.672540978872413
364,9.60822001878697
365,7.746577463711929
366,9.627487680537046
367,7.949864358684581
368,10.406240083858293
369,7.941558587911747
370,10.015428555503506
371,8.080832109698571
372,9.944681257869373
373,8.094765651870999
374,10.074996645199562
375,8.196010008734628
376,10.800339464535025
377,8.514442587801765
378,10.437463973886882
379,8.490599815740463
380,10.525603162345783
381,8.492260578014301
382,10.829903310269112
383,8.448581327141586
384,11.826964126416891
385,9.069309140792766
386,10.96538011214488
387,9.186124779774547
388,11.002843612025552
389,9.326532579658535
390,11.144601816313438
391,9.411480330656623
392,11.683762913378795
393,9.558461927546846
394,11.342889782340706
395,9.620947133656012
396,11.428846060541908
397,9.710628344622101
398,11.827331029405807
399,9.81406581331552
400,12.203389941565936
401,9.758050973639387
402,12.053389403050769
403,9.887526532106232
404,12.088544612593925
405,9.98858425663018
406,12.377461880427127
407,10.21329423895299
408,12.754859123503342
409,10.333001807219235
410,12.58767861238871
411,10.389431611993551
412,12.378689330124342
413,10.470711253722902
414,12.773505545482736
415,10.758184532053939
416,13.533745817447537
417,10.861056076070957
418,13.201597068123995
419,10.94749818851487
420,13.392228336454687
421,10.963854089865462
422,13.51656117698848
423,11.115905741318949
424,14.032468287515341
425,11.196623898768648
426,13.580945046485471
427,11.38142267191697
428,13.96479187434566
429,11.39938237457756
430,13.987342457607818
431,11.5998321103616
432,14.664516721016215
433,11.637121413964852
434,14.161275784678045
435,11.712443612597026
436,14.066566355807323
437,11.900526718640016
438,14.393603826540787
439,12.086925292403425
440,15.063436783504413
441,11.744443617156307
442,15.178978501903599
443,11.903744656985998
444,14.845972716656593
445,12.112489700409236
446,15.15040764856174
447,12.173985611485879
448,16.12150630917642
449,10.919959900586397
450,15.994915707663367
451,11.114322861258664
452,16.253442559504588
453,11.235723987335035
454,16.110127106227537
455,11.417337782911327
456,17.309167784798444
457,11.283574109320732
458,16.529856106711257
459,11.48521778173748
460,16.58527940378302
461,11.702853199450692
462,16.667295166001185
463,11.726470479536026
464,17.85868728368356
465,11.845306493635231
466,16.66669161484118
467,11.91201186347088
468,16.843272153765156
469,12.024918777357
470,17.148195501837694
471,12.109414470001916
472,18.076787370382718
473,12.16120458677312
474,17.302572218288567
475,12.335753634289837
476,17.447720101271155
477,12.31242142757494
478,17.469977165335767
479,12.42705260371338
480,19.33049308044938
481,12.495451655199258
482,18.763726733501088
483,12.68849502653666
484,18.723792753722226
485,12.72104564571562
486,19.08188323778906
487,12.803196033161095
488,19.822661231362602
489,12.882749872047075
490,19.05313682862154
491,12.899842815680271
492,19.28944015728165
493,12.9629514332682
494,19.379960583749124
495,13.110606709366134
496,21.337366759233284
497,13.132953697440268
498,19.60681899855622
499,13.129700403654937
500,19.789614086223704
501,13.352897813145011
502,20.172370154534285
503,13.31710264236984
504,20.961977881844227
505,13.474740147872708
506,20.204740625722895
507,13.578312143053916
508,20.338723204682676
509,13.617241394488568
510,20.52447453681392
511,13.794250517174529
512,23.618663932773753
513,14.827138694378386
514,22.242426926789545
515,14.981065456566702
516,22.91471298479343
517,15.111927088304448
518,23.041697056167052
519,15.121500123586696
520,21.541685802748916
521,15.047982175388197
522,22.52547419573371
523,15.30009038502981
524,23.13992372982499
525,15.252977649044018
526,23.29040024185254
527,15.6230363154168
528,22.320598711586413
529,15.072101916574523
530,23.70847101402718
531,15.079928972414306
532,23.74507433090739
533,15.013826123768196
534,23.88454023301377
535,15.117413264210995
536,22.55382462831338
537,15.305402671798106
538,23.977334940067497
539,15.365220215768353
540,24.14554935776718
541,15.545888998087795
542,24.105289377617872
543,15.562112243603954
544,23.71893998096443
545,15.749170181916162
546,24.54626939670605
547,15.84013611359774
548,24.666986339507986
549,15.99022950105397
550,24.4793746294555
551,16.026905557070755
552,23.486082178542798
553,16.1415773526341
554,24.846335341656392
555,16.174912224725105
556,24.82248787257233
557,16.44855351039492
558,25.036176907615623
559,16.33852311939046
560,24.640558537858375
561,16.36984824322074
562,25.833072387388626
563,16.61367557806756
564,25.795471088392997
565,16.43452322138724
566,26.156727688936506
567,16.701478901104306
568,24.96194182821222
569,16.855146522909898
570,26.53790699830038
571,16.969020965685207
572,26.723997311586874
573,16.925554503384333
574,26.20763844448145
